Idx,x,y,z,network_id
181,-21.14,40.87,-20.48,-1
182,-17.51,-75.89,-24.33,-1
183,16.85,-79.89,-34.36,-1
184,34.72,-67.08,-34.45,-1
185,47.01,9.93,32.66,8
186,-41.06,5.81,32.72,8
187,-42.23,38.21,21.35,8
188,38.37,43.18,15.06,8
189,49.18,-42.41,45.16,8
190,-28.4,-57.93,47.78,8
191,43.93,-52.95,46.95,8
192,31.83,14.37,55.98,8
193,37.45,-64.7,40.38,8
194,-42.09,-54.98,44.74,8
195,39.87,18.39,39.72,8
196,-34.16,54.83,4.36,8
197,-41.68,45.16,-2.31,8
198,33.38,-53.12,44.02,8
199,43.25,49.25,-2.31,8
200,-42.1,24.68,29.53,8
201,-2.98,26.41,44.42,8
202,10.51,-38.54,50.02,9
203,55.27,-44.59,36.7,9
204,42.05,-0.39,47.1,9
205,31.24,32.79,26.39,9
206,47.6,22.16,9.74,9
207,-35.44,20.03,0.07,9
208,35.91,21.91,2.62,9
209,36.89,32.35,-2.24,9
210,33.56,16.45,-7.58,9
211,-10.76,25.99,24.54,9
212,-0.94,14.86,43.99,9
213,-27.5,52.04,21.28,9
214,-0.2,30.35,27.22,9
215,5.23,23.22,37.03,9
216,10.26,22.06,27.48,9
217,31.07,55.71,14.49,9
218,26.07,49.56,26.58,9
219,-39.12,50.79,17.38,9
220,1.75,-24.25,30.36,6
221,6.3,-23.68,-0.42,10
222,-1.77,-13.05,11.82,10
223,-10.28,-18.48,7.04,10
224,11.75,-17.18,7.54,10
225,-5.33,-28.08,-4.13,10
226,-21.97,7.48,-4.78,10
227,-15.41,3.57,7.99,10
228,30.5,-13.92,1.65,10
229,23.26,10.19,1.46,10
230,28.52,0.82,4.01,10
231,-31.38,-11.48,-0.3,10
232,14.98,4.94,7.24,10
233,8.62,-3.57,5.76,10
234,53.9,-42.76,21.83,11
235,-56.47,-50.48,9.92,11
236,-55.3,-39.89,13.51,11
237,51.52,-32.52,7.55,11
238,51.28,-28.52,-4.3,11
239,55.75,-46.07,11.42,11
240,52.68,32.58,0.57,11
241,-49.07,25.13,-0.98,11
242,-16.31,-65.28,-19.69,13
243,-32.12,-55.03,-25.22,13
244,22.43,-57.55,-23.11,13
245,0.51,-61.91,-18.14,13
246,32.85,-12.41,-34.41,-1
247,-31.13,-9.99,-36.32,-1
248,48.52,-2.85,-38.49,-1
249,-50.06,-7.09,-39.24,-1
250,9.61,-61.5,60.88,12
251,-52.44,-63.14,5.29,12
252,-46.68,-50.91,-20.91,-1
253,45.68,-46.67,-16.85,-1
254,47.21,-29.75,48.7,1
255,21.9,-64.74,48.12,12
256,46.09,-58.93,3.93,12
257,25.34,-58.18,60.34,12
258,-32.56,-46.42,47.2,12
259,-26.6,-70.72,36.86,12
260,-32.23,-1.08,54.06,12
261,-42.26,-60.12,-8.85,12
262,-16.5,-58.57,64.46,12
263,28.56,-4.62,53.99,12
